item_id,Brand Name,Generic Name,Category
ITM_6889,Trokendi,24 HR topiramate 25 MG Extended Release Oral Capsule,Other
ITM_6890,Trokendi,24 HR topiramate 100 MG Extended Release Oral Capsule,Other
ITM_6891,Trokendi,24 HR topiramate 200 MG Extended Release Oral Capsule,Other
ITM_6892,Aciphex,rabeprazole sodium 5 MG Oral Granules,Other
ITM_6893,Valchlor,mechlorethamine Topical Gel,Skin/Topical
ITM_6894,WP Thyroid,thyroid (USP) 97.5 MG Oral Tablet,Other
ITM_6895,WP Thyroid,thyroid (USP) 65 MG Oral Tablet,Other
ITM_6896,Mirvaso,brimonidine 0.0033 MG/MG Topical Gel,Skin/Topical
ITM_6897,Valchlor,mechlorethamine 0.00016 MG/MG Topical Gel,Skin/Topical
ITM_6898,Wal-Som,diphenhydramine Disintegrating Oral Tablet,Other
ITM_6899,Wal-Som,diphenhydramine hydrochloride 25 MG Disintegrating Oral Tablet,Other
ITM_6900,Wal-Sleep Z,diphenhydramine Oral Solution,Other
ITM_6901,Wal-Sleep Z,diphenhydramine hydrochloride 1.67 MG/ML Oral Solution,Other
ITM_6902,Zeasorb,miconazole Topical Powder,Skin/Topical
ITM_6903,Zeasorb,miconazole nitrate 0.02 MG/MG Topical Powder,Skin/Topical
ITM_6904,WP Thyroid,thyroid (USP) 16.25 MG Oral Tablet,Other
ITM_6905,WP Thyroid,thyroid (USP) 48.75 MG Oral Tablet,Other
ITM_6906,Paroex,chlorhexidine Mouthwash,Other
ITM_6907,Paroex,chlorhexidine gluconate 1.2 MG/ML Mouthwash,Other
ITM_6908,Glycate,glycopyrronium Oral Tablet,Other
ITM_6909,Glycate,glycopyrrolate 1.5 MG Oral Tablet,Other
ITM_6910,Rolaids Reformulated Aug 2006,calcium carbonate 1000 MG / magnesium hydroxide 200 MG Chewable Tablet,Other
ITM_6911,Riax,benzoyl peroxide Topical Foam,Skin/Topical
ITM_6912,Riax,benzoyl peroxide 55 MG/ML Topical Foam,Skin/Topical
ITM_6913,Riax,benzoyl peroxide 95 MG/ML Topical Foam,Skin/Topical
ITM_6914,Adempas,riociguat Oral Tablet,Other
ITM_6915,Adempas,riociguat 0.5 MG Oral Tablet,Other
